"Qty";"Value";"Device";"Package";"Parts";"Description";"MOUSER";
"2";"";"LSP30-LONG";"LSP30-LONG";"J1, J2";"Long Solder Pad, drill 1 x 3 mm";"";
"1";"0";"R-US0805";"R0805";"R2";"SMD Resistor";"660-RK73H2ATTDD1R00F";
"4";"0.1uF";"C-US0805";"C0805";"C1, C2, C3, C6";"SMD Multilayer Ceramic Capacitor";"80-C0805C104J5RAUTO";
"1";"0.4nF";"C-US0805";"C0805";"C5";"SMD Multilayer Ceramic Capacitor";"80-C0805C104J5RAUTO";
"1";"10K";"R-US0805";"R0805";"R1";"SMD Resistor";"660-RK73H2ATTDD1R00F";
"1";"1G86";"74AHC1G86DCK";"SC70-5";"IC3";"2-input EXCLUSIV-OR gate";"";
"1";"330";"R-US0805";"R0805";"R10";"SMD Resistor";"660-RK73H2ATTDD1R00F";
"1";"3mm";"LED3MM";"LED3MM";"LED1";"LED";"";
"6";"47K";"R-US0805";"R0805";"R3, R4, R6, R7, R8, R11";"SMD Resistor";"660-RK73H2ATTDD1R00F";
"1";"47uF";"CPOL-US0805";"CPOL0805";"C4";"SMT Tantalum Capacitor";"581-TAJR225K016RNJ";
"1";"56";"R-US0805";"R0805";"R5";"SMD Resistor";"660-RK73H2ATTDD1R00F";
"1";"56M";"R-US0805";"R0805";"R9";"SMD Resistor";"660-RK73H2ATTDD1R00F";
"1";"BSH205";"BSH205G2R";"SOT23";"Q1";"P-channel enhancement mode MOSFET (-2.3A)";"771-BSH205G2R";
"1";"MA06-1";"MA06-1";"MA06-1-NO-PL";"SV2";"";"";
"1";"MA07-1";"MA07-1NO-PL";"MA07-1-NO-PL";"SV3";"Headers & Wire Housing, 1 Row, 7 Position";"";
"1";"ORD211-0810";"ORD211-0810";"ORD211-0810";"S1";"Reed switch";"876-ORD211-0810 ";
"1";"RFM69HCW";"RFM69HCW";"RFM69HCW";"IC2";"RFM69HCW transceiver module";"474-COM-13910";
"1";"STM32L051";"STM32L051K6T";"LQFP32";"IC1";"ARM 32-bit Cortexâ„¢-M0+ CPU";"511-STM32L051K6T6";
"1";"SWD";"MA03-2";"MA03-2";"SV1";"Headers & Wire Housing, 2 Row, 6 Position";"68602-406HLF";
